SS,FR,DD,D,AL,Predicted,Error,SiC,Predicted.1,Error.1,Neat ,Predicted.2,Error.2,Desirability index,Composite desirability,Rank
,,,,,,0.8378918446866721,,,2.2238739834078354,,,-0.6069004949638159,,,
,,,,,,,,,,,,,,,Min
,,,,Al core,SiC core,Neat core,,AL step,Sic step,Neat step,,Al twist,,Al core,0.896
,,,,0.997,1.005,1.205,,0.666,0.712,1.018,,0.753,,Al step,0.505
,,,,0.935,0.941,1.176,,0.635,0.672,0.993,,0.786,,Al twist,0.702
,,,,0.915,0.927,1.159,,0.622,0.664,0.984,,0.775,,,
,,,,0.899,0.916,1.145,,0.605,0.632,0.935,,0.821,,,Min
,,,,1.012,1.026,1.223,,0.641,0.695,1.002,,0.718,,SiC core,0.912
,,,,0.962,0.956,1.182,,0.683,0.728,1.031,,0.795,,SiC step,0.602
,,,,0.92,0.935,1.165,,0.696,0.743,1.041,,0.866,,SiC twist,0.752
,,,,0.968,0.963,1.189,,0.689,0.735,1.037,,0.786,,,
,,,,0.896,0.912,1.138,,0.635,0.672,0.993,,0.815,,,Min
,,,,0.968,0.963,1.189,,0.609,0.645,0.942,,0.762,,Neat core,1.138
,,,,1.002,1.012,1.213,,0.635,0.672,0.993,,0.825,,Neat step,0.918
,,,,0.968,0.963,1.189,,0.678,0.723,1.025,,0.786,,Neat twist,0
,,,,0.989,0.991,1.196,,0.505,0.602,0.918,,0.782,,,
,,,,0.968,0.963,1.189,,0.635,0.672,0.993,,0.786,,,
,,,,1.025,1.048,1.229,,0.652,0.703,1.01,,0.786,,,
,,,,1.007,1.018,1.218,,0.618,0.656,0.957,,0.702,,,
,,,,0.968,0.963,1.189,,0.562,0.615,0.922,,0.726,,,
,,,,0.973,0.972,1.193,,0.635,0.672,0.993,,0.843,,,
,,,,0.902,0.923,1.153,,0.635,0.672,0.993,,0.786,,,
,,,,0.968,0.963,1.189,,0.595,0.621,0.927,,0.805,,,
